98
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,j,|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,j,|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,j,|,-,-,-,-,-,-,-,|,-,-,-,-,-,-,-,-,-,-,-,c,|,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,j,|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,j,|,s,-,-,-,-,-,-,|,-,-,s,-,-,-,-,|,-,-,-,s,|,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|
-,-,-,-,-,-,-,-,-,-,-,-,-,c,-,-,-,-,-,-,j,|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,j,|,-,-,c,-,c,-,-,-,-,-,|,-,-,-,-,|,|,|,|,|,|,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|
-,-,-,-,-,-,-,-,-,-,-,-,c,-,-,-,-,-,-,-,j,|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,j,|,-,-,c,-,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|
v3,-,-,c,-,-,-,-,-,-,-,c,-,c,c,c,c,-,-,-,j,|,-,-,-,-,-,-,-,-,-,-,-,-,v1,-,-,-,-,-,c,-,-,-,c,-,-,-,c,-,-,-,-,-,-,j,|,s,-,-,-,-,-,-,|,-,-,-,-,-,-,-,-,-,-,-,-,|,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|
t,-,c,-,c,-,-,-,-,-,-,-,c,-,-,-,-,-,j,|,|,|,-,-,-,-,-,-,-,-,-,-,-,-,|,-,-,-,-,-,|,-,-,-,|,-,-,-,|,-,-,|,-,-,-,j,|,-,c,-,c,-,c,-,|,-,-,-,-,-,-,-,-,-,-,-,-,|,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|
-,c,-,-,-,c,-,-,-,-,-,-,-,c,-,-,-,j,|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|,-,-,-,j,|,-,-,c,c,c,-,-,|,s,-,-,-,-,-,-,-,-,-,-,-,|,c,-,-,F,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,|
c,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,j,|,v2,-,-,w,s,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,3,-,-,2,-,3,-,2,-,-,-,|,-,-,-,j,|,s,-,-,-,-,-,-,|,t,k,k,k,k,k,k,k,s,-,-,-,|,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|
c,-,-,-,-,-,t,t,t,t,t,t,t,t,t,t,t,t,|,|,|,|,|,|,-,-,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,-,-,-,j,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,-,-,-,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,|
c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,j,_,_,-,-,-,-,-,-,-,-,-,-,-,-,-,j,_,-,-,-,-,-,{,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,_,-,-,-,-,c,c,c,c,c,c,c,c,c,c,c,c,-,-,-,-,-,-,-,-,-,j,_,-,-,-,-,-,-,-,-,-,-,-,_,_,_,-,j,_,-,-,-,s,-,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|,-,_,-,-,-,-,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,-,j,_,-,-,-,_,-,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,_,-,j,_,-,-,-,-,-,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
